OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727428,,,pH,Total,8.0,std units,,Accepted,,Actual,,,,,,,,,,,00400,,,,,,,,,PROBE,USGS,"pH, field, electrometric",,"USGS National Field Manual, Chapter A6.4",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727429,,,pH,Total,8.1,std units,,Accepted,,Actual,,,,,,,,,,,00403,,,,,,,,,EL006,USGS,"pH, lab, auto glass electrode",,"USGS TWRI 5-A1/1989, p 363","USGS-National Water Quality Lab, Denver, CO",2010-07-27,,,Lower Reporting Limit,0.1,std units,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727431,Not Detected,,Organic Nitrogen,Total,,,,Accepted,,Actual,,,,,,,,,,,00605,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,Historical Lower Reporting Limit,0.10,mg/l,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727432,Not Detected,,Ammonia and ammonium,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,00608,,,,,,,,,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)",,"Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2010-08-12,,,Laboratory Reporting Level,0.02,mg/l as N,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727433,,,Nitrite,Dissolved,0.001,mg/l as N,,Accepted,,Estimated,,,,,,,,,,"Report level code updated Oct., Nov. 2015: NWQL transmitted incorrect code during FY10 (RLC: IRL => LRL)",00613,,,,,,,,,DZ001,USGS,"Nitrite, wf, DA, diazo",,"USGS OF 93-125, p 217","USGS-National Water Quality Lab, Denver, CO",2010-08-12,below the reporting level but at or above the detection level,,Laboratory Reporting Level,0.002,mg/l as N,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727434,Not Detected,,Nitrate,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,Historical Lower Reporting Limit,0.015,mg/l as N,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727435,Not Detected,,Inorganic nitrogen (nitrate and nitrite),Dissolved,,,,Accepted,,Actual,,,,,,,,,,,00631,,,,,,,,,CL050,USGS,"Nutrients, LL, wf, Cd reduct",,"USGS OF 93-125, p 149","USGS-National Water Quality Lab, Denver, CO",2010-08-16,,,Laboratory Reporting Level,0.016,mg/l as N,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727436,,,Orthophosphate,Dissolved,0.018,mg/l asPO4,,Accepted,,Estimated,,,,,,,,,,,00660,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727437,Not Detected,,Phosphorus,Total,,,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,CL021,USGS,"P, wu, WCA, persulfate CF color",,,"USGS-National Water Quality Lab, Denver, CO",2010-08-05,,,Laboratory Reporting Level,0.008,mg/l as P,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727438,,,Orthophosphate,Dissolved,0.006,mg/l as P,,Accepted,,Estimated,,,,,,,,,,,00671,,,,,,,,,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)",,"Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2010-08-12,below the reporting level but at or above the detection level,,Laboratory Reporting Level,0.008,mg/l as P,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727439,,,"Hardness, Ca, Mg",,120,mg/l CaCO3,,Accepted,,Actual,,,,,,,,,,,00900,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727440,,,Calcium,Dissolved,35.5,mg/l,,Accepted,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2010-08-24,,,Laboratory Reporting Level,0.044,mg/l,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727441,,,Magnesium,Dissolved,7.58,mg/l,,Accepted,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2010-08-24,,,Laboratory Reporting Level,0.016,mg/l,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727442,,,Sodium,Dissolved,0.67,mg/l,,Accepted,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2010-08-24,,,Laboratory Reporting Level,0.10,mg/l,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727443,,,Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],,0.03,None,,Accepted,,Actual,,,,,,,,,,,00931,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727444,,,"Sodium, percent total cations",,1,%,,Accepted,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727445,,,Potassium,Dissolved,0.28,mg/l,,Accepted,,Actual,,,,,,,,,,,00935,,,,,,,,,PLO03,USGS,"Potassium, wf, by ICP-OES",,Standard Methods,"USGS-National Water Quality Lab, Denver, CO",2010-08-24,,,Laboratory Reporting Level,0.064,mg/l,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727450,,,Alkalinity,Dissolved,127,mg/l CaCO3,,Accepted,,Actual,,,,,,,,,,Hold-time violation - for accurate results measure in the field without delay. See NWQL Tech Memo 95-01,29801,,,,,,,,,TT040,USGS,"Alkalinity, titr. pH 4.5 (NWQL)",,"USGS TWRI 5-A1/1989, p 57","USGS-National Water Quality Lab, Denver, CO",2010-07-29,holding time exceededsee result laboratory comment,,Laboratory Reporting Level,8,mg/l CaCO3,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727451,,,"Height, gage",,1.62,m,,Accepted,,Actual,,,,,,,,,,,30207,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727452,,,"Stream flow, instantaneous",,20,m3/sec,,Accepted,,Actual,,,,,,,,,,,30209,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727455,Not Detected,,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Total,,,,Accepted,,Actual,,,,,,,,,,,62855,,,,,,,,,AKP01,USGS,"Nutrients, wu, WCA,persulfate,CF",,USGS WRI 03-4174,"USGS-National Water Quality Lab, Denver, CO",2010-07-29,,,Laboratory Reporting Level,0.10,mg/l,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727456,,,Total dissolved solids,Dissolved,129,mg/l,,Accepted,,Estimated,,,,,,,,,,,70301,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727457,,,Total dissolved solids,Dissolved,242,tons/day,,Accepted,,Estimated,,,,,,,,,,,70302,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727458,,,Total dissolved solids,Dissolved,0.18,tons/ac ft,,Accepted,,Estimated,,,,,,,,,,,70303,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727459,,,Suspended Sediment Concentration (SSC),Suspended,90,%,,Accepted,,Actual,,,,< 0.0625 mm,,,,,,,70331,,,,,,,,,SED30,USGS,Wet sieve,,USGS OSW Tech Memo 2004.01,"USGS-Sediment Analysis Laboratory, Helena, Montana",2010-09-20,,,Lower Reporting Limit,1,%,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.01001772,Sample-Routine,Water,Surface Water,2010-07-20,09:00:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12355000,,"L-2070016 Received July 23, 2010",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-85727460,Not Detected,,Ammonia and ammonium,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,71846,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,Historical Lower Reporting Limit,0.026,mg/l NH4,,,NWIS
